University,City,Country,CourseName,CourseDescription,StartDate,EndDate,Price,Currency
Escola Superior de Artes e Design,Sobreira,Portugal,Cost Accountant,Automated next generation hub,2019-03-05,2019-04-09,2229.02,EUR
Universidad Cientifica Latinoamericana de Hidalgo,Rafael Hernandez Ochoa,Mexico,Recruiter,Mandatory leading edge process improvement,2018-03-31,2018-08-12,6428.18,MXN
Philippine Normal University,Tubli,Philippines,Senior Cost Accountant,Enhanced actuating workforce,2016-09-22,2016-10-03,9549.67,PHP
Universidad ICESI,Morales,Colombia,Marketing Assistant,Robust grid-enabled info-mediaries,2016-07-04,2016-08-28,7137.85,COP
Universitas Simalungun,Sobeok,Indonesia,Structural Analysis Engineer,Reactive didactic solution,2016-05-16,2016-06-22,9186.51,IDR
Northeast Agricultural University,Taiping,China,Assistant Media Planner,Polarised well-modulated artificial intelligence,2017-06-09,2017-06-13,1670.07,CNY
Universidad Católica Andres Bello,Maracaibo,Venezuela,Systems Administrator III,Object-based next generation model,2016-12-10,2017-03-08,9343.16,VEF
European University of Lefke,Dhali,Cyprus,Civil Engineer,Organized bottom-line website,2016-09-15,2016-10-12,4220.18,EUR
Institute of Management & Enteurpreneurship of South East Europe,Argostólion,Greece,Computer Systems Analyst III,Right-sized zero administration array,2017-09-10,2018-04-17,9279.85,EUR
Samara State Aerospace University,Zamoskvorech’ye,Russia,Speech Pathologist,Networked intangible paradigm,2018-10-22,2019-01-12,8755.32,RUB
Universidade Ibirapuera,Dourados,Brazil,Registered Nurse,Team-oriented local moderator,2019-09-15,2019-12-26,2359.05,BRL
Nishinippon Institute of Technology,Kozakai-chō,Japan,Marketing Manager,Multi-layered multi-tasking concept,2018-12-31,2019-07-22,7344.56,JPY
Perm State University,Devitsa,Russia,Software Test Engineer IV,Seamless scalable concept,2019-07-21,2019-12-18,8829.49,RUB
University of Information Technology and Management in Rzeszow,Świnna,Poland,Assistant Professor,Profit-focused high-level middleware,2018-07-31,2018-08-28,3509.29,PLN
Universidad de Medellín,El Carmen de Bolívar,Colombia,Cost Accountant,Streamlined stable data-warehouse,2019-03-26,2019-08-11,1331.26,COP
Ternopil Academy of National Economy,Borodino,Ukraine,Research Assistant III,Multi-tiered eco-centric project,2016-09-24,2016-12-06,2631.44,UAH
